log(f),phase_angle,T,t,incl,vel
11.513924965303312,-1.548,0.0,0.0,0.0,0.0
11.282883171964862,-1.663,0.0,0.0,0.0,0.0
11.053109762111983,-1.715,0.0,0.0,0.0,0.0
10.82377030567982,-1.856,0.0,0.0,0.0,0.0
10.593880944899452,-2.169,0.0,0.0,0.0,0.0
10.36217742188159,-2.513,0.0,0.0,0.0,0.0
10.133408088129361,-2.651,0.0,0.0,0.0,0.0
9.90448705286921,-3.134,0.0,0.0,0.0,0.0
9.673445259530762,-3.747,0.0,0.0,0.0,0.0
9.442245428958966,-4.682,0.0,0.0,0.0,0.0
9.21830854162536,-5.326,0.0,0.0,0.0,0.0
8.989194823324645,-6.516,0.0,0.0,0.0,0.0
8.75273950944749,-7.851,0.0,0.0,0.0,0.0
8.520388082312756,-9.658,0.0,0.0,0.0,0.0
8.290041618704489,-11.31,0.0,0.0,0.0,0.0
8.061802274538348,-13.5,0.0,0.0,0.0,0.0
7.8351837552667485,-16.43,0.0,0.0,0.0,0.0
7.588829878307813,-19.66,0.0,0.0,0.0,0.0
7.363913501405819,-23.03,0.0,0.0,0.0,0.0
7.143617602704121,-27.16,0.0,0.0,0.0,0.0
6.90605383234238,-31.08,0.0,0.0,0.0,0.0
6.680729200403702,-35.85,0.0,0.0,0.0,0.0
6.442221644407853,-40.61,0.0,0.0,0.0,0.0
6.225548038460526,-44.98,0.0,0.0,0.0,0.0
5.986452005284438,-49.56,0.0,0.0,0.0,0.0
5.754158681981268,-53.68,0.0,0.0,0.0,0.0
5.5310151306670585,-57.25,0.0,0.0,0.0,0.0
5.291292751611072,-60.62,0.0,0.0,0.0,0.0
5.0651234793803255,-63.36,0.0,0.0,0.0,0.0
4.833102254034098,-65.74,0.0,0.0,0.0,0.0
4.609162207257629,-67.65,0.0,0.0,0.0,0.0
4.3694478524670215,-69.36,0.0,0.0,0.0,0.0
4.148517041110494,-70.63,0.0,0.0,0.0,0.0
3.9094196195580313,-71.77,0.0,0.0,0.0,0.0
3.681854839176972,-72.59,0.0,0.0,0.0,0.0
3.4553698605505483,-73.26,0.0,0.0,0.0,0.0
3.2160718975354663,-73.81,0.0,0.0,0.0,0.0
2.9887076586170265,-74.31,0.0,0.0,0.0,0.0
2.7625383863862796,-74.65,0.0,0.0,0.0,0.0
2.517696472610991,-74.85,0.0,0.0,0.0,0.0
2.2956611779212213,-74.98,0.0,0.0,0.0,0.0
2.072542799988679,-75.06,0.0,0.0,0.0,0.0
1.8432444119165634,-75.09,0.0,0.0,0.0,0.0
1.6110366337977975,-75.1,0.0,0.0,0.0,0.0
1.3727024076004237,-75.08,0.0,0.0,0.0,0.0
1.1502555218199482,-75.04,0.0,0.0,0.0,0.0
0.9178894532378521,-74.86,0.0,0.0,0.0,0.0
0.6921466802263617,-74.77,0.0,0.0,0.0,0.0
0.46058440732924394,-74.64,0.0,0.0,0.0,0.0
0.23665190133900194,-74.49,0.0,0.0,0.0,0.0
-0.0010005003335835344,-74.31,0.0,0.0,0.0,0.0
-0.23281517101094082,-74.1,0.0,0.0,0.0,0.0
-0.45665314487759767,-73.84,0.0,0.0,0.0,0.0
-0.6851790109107684,-73.53,0.0,0.0,0.0,0.0
-0.9147918557504191,-73.15,0.0,0.0,0.0,0.0
-1.149800325437543,-72.66,0.0,0.0,0.0,0.0
-1.3783261914707137,-72.1,0.0,0.0,0.0,0.0
-1.6079390363103645,-71.39,0.0,0.0,0.0,0.0
-1.8394802054394668,-70.52,0.0,0.0,0.0,0.0
-2.071473372030659,-69.49,0.0,0.0,0.0,0.0
-2.3005870903313728,-68.26,0.0,0.0,0.0,0.0
-2.532627385999412,-66.73,0.0,0.0,0.0,0.0
-2.761925774071528,-64.91,0.0,0.0,0.0,0.0
