Z_real,Z_img,T,t,incl,vel
27.59,0.7454,0.0,0.0,0.0,0.0
27.65,0.8027,0.0,0.0,0.0,0.0
27.58,0.8257,0.0,0.0,0.0,0.0
27.66,0.8962,0.0,0.0,0.0,0.0
27.74,1.05,0.0,0.0,0.0,0.0
27.76,1.218,0.0,0.0,0.0,0.0
27.8,1.287,0.0,0.0,0.0,0.0
27.86,1.525,0.0,0.0,0.0,0.0
28.01,1.834,0.0,0.0,0.0,0.0
27.99,2.292,0.0,0.0,0.0,0.0
28.06,2.616,0.0,0.0,0.0,0.0
28.3,3.232,0.0,0.0,0.0,0.0
28.54,3.935,0.0,0.0,0.0,0.0
28.58,4.864,0.0,0.0,0.0,0.0
28.84,5.767,0.0,0.0,0.0,0.0
29.26,7.023,0.0,0.0,0.0,0.0
29.46,8.687,0.0,0.0,0.0,0.0
29.96,10.71,0.0,0.0,0.0,0.0
30.3,12.88,0.0,0.0,0.0,0.0
30.81,15.81,0.0,0.0,0.0,0.0
31.66,19.08,0.0,0.0,0.0,0.0
32.42,23.42,0.0,0.0,0.0,0.0
33.62,28.83,0.0,0.0,0.0,0.0
34.87,34.84,0.0,0.0,0.0,0.0
36.56,42.9,0.0,0.0,0.0,0.0
38.6,52.52,0.0,0.0,0.0,0.0
41.01,63.76,0.0,0.0,0.0,0.0
44.21,78.52,0.0,0.0,0.0,0.0
47.94,95.58,0.0,0.0,0.0,0.0
52.67,116.9,0.0,0.0,0.0,0.0
58.27,141.8,0.0,0.0,0.0,0.0
65.72,174.4,0.0,0.0,0.0,0.0
74.18,211,0.0,0.0,0.0,0.0
85.33,259.1,0.0,0.0,0.0,0.0
98.8,315.1,0.0,0.0,0.0,0.0
115.1,382.6,0.0,0.0,0.0,0.0
136.4,469.7,0.0,0.0,0.0,0.0
159.8,568.8,0.0,0.0,0.0,0.0
188.8,687.9,0.0,0.0,0.0,0.0
229.6,848.1,0.0,0.0,0.0,0.0
274.8,1024,0.0,0.0,0.0,0.0
329.7,1236,0.0,0.0,0.0,0.0
399.6,1501,0.0,0.0,0.0,0.0
485.6,1826,0.0,0.0,0.0,0.0
594.0,2230,0.0,0.0,0.0,0.0
718.2,2687,0.0,0.0,0.0,0.0
885.1,3271,0.0,0.0,0.0,0.0
1075.0,3950,0.0,0.0,0.0,0.0
1316.0,4790,0.0,0.0,0.0,0.0
1601.0,5771,0.0,0.0,0.0,0.0
1974.0,7030,0.0,0.0,0.0,0.0
2427.0,8518,0.0,0.0,0.0,0.0
2970.0,10250,0.0,0.0,0.0,0.0
3659.0,12370,0.0,0.0,0.0,0.0
4526.0,14940,0.0,0.0,0.0,0.0
5655.0,18110,0.0,0.0,0.0,0.0
7048.0,21820,0.0,0.0,0.0,0.0
8845.0,26260,0.0,0.0,0.0,0.0
11180.0,31610,0.0,0.0,0.0,0.0
14210.0,37980,0.0,0.0,0.0,0.0
18090.0,45370,0.0,0.0,0.0,0.0
23230.0,54020,0.0,0.0,0.0,0.0
29840.0,63740,0.0,0.0,0.0,0.0
38460.0,74780,0.0,0.0,0.0,0.0
49370.0,86840,0.0,0.0,0.0,0.0
63030.0,99630,0.0,0.0,0.0,0.0
79850.0,112800,0.0,0.0,0.0,0.0
99910.0,125700,0.0,0.0,0.0,0.0
123400.0,137700,0.0,0.0,0.0,0.0
150000.0,148600,0.0,0.0,0.0,0.0
179600.0,157500,0.0,0.0,0.0,0.0
30.95,0.5646,980.0,15.0,0.0,0.0
31.05,0.5336,980.0,15.0,0.0,0.0
31.03,0.5209,980.0,15.0,0.0,0.0
30.99,0.5545,980.0,15.0,0.0,0.0
31.02,0.5528,980.0,15.0,0.0,0.0
31.04,0.616,980.0,15.0,0.0,0.0
31.1,0.7369,980.0,15.0,0.0,0.0
31.1,0.901,980.0,15.0,0.0,0.0
31.16,1.115,980.0,15.0,0.0,0.0
31.24,1.396,980.0,15.0,0.0,0.0
31.25,1.559,980.0,15.0,0.0,0.0
31.3,1.894,980.0,15.0,0.0,0.0
31.41,2.339,980.0,15.0,0.0,0.0
31.47,2.903,980.0,15.0,0.0,0.0
31.62,3.544,980.0,15.0,0.0,0.0
31.67,4.296,980.0,15.0,0.0,0.0
31.78,5.253,980.0,15.0,0.0,0.0
32.04,6.581,980.0,15.0,0.0,0.0
32.18,8.051,980.0,15.0,0.0,0.0
32.52,9.822,980.0,15.0,0.0,0.0
32.91,12.22,980.0,15.0,0.0,0.0
33.21,14.9,980.0,15.0,0.0,0.0
33.77,18.46,980.0,15.0,0.0,0.0
34.36,22.52,980.0,15.0,0.0,0.0
35.2,27.98,980.0,15.0,0.0,0.0
36.24,34.55,980.0,15.0,0.0,0.0
37.5,42.29,980.0,15.0,0.0,0.0
39.21,52.54,980.0,15.0,0.0,0.0
41.27,64.47,980.0,15.0,0.0,0.0
43.95,79.47,980.0,15.0,0.0,0.0
47.22,97.11,980.0,15.0,0.0,0.0
51.71,120.4,980.0,15.0,0.0,0.0
56.98,146.7,980.0,15.0,0.0,0.0
64.19,181.3,980.0,15.0,0.0,0.0
73.22,222,980.0,15.0,0.0,0.0
84.69,271.1,980.0,15.0,0.0,0.0
100.4,334.5,980.0,15.0,0.0,0.0
119.5,407.4,980.0,15.0,0.0,0.0
144.4,494.9,980.0,15.0,0.0,0.0
180.9,610.3,980.0,15.0,0.0,0.0
224.2,735.3,980.0,15.0,0.0,0.0
280.1,883,980.0,15.0,0.0,0.0
353.6,1061,980.0,15.0,0.0,0.0
446.4,1270,980.0,15.0,0.0,0.0
563.1,1517,980.0,15.0,0.0,0.0
692.0,1783,980.0,15.0,0.0,0.0
852.5,2105,980.0,15.0,0.0,0.0
1021.0,2465,980.0,15.0,0.0,0.0
1209.0,2901,980.0,15.0,0.0,0.0
1410.0,3408,980.0,15.0,0.0,0.0
1642.0,4055,980.0,15.0,0.0,0.0
1887.0,4830,980.0,15.0,0.0,0.0
2159.0,5757,980.0,15.0,0.0,0.0
2487.0,6887,980.0,15.0,0.0,0.0
2884.0,8287,980.0,15.0,0.0,0.0
3405.0,10070,980.0,15.0,0.0,0.0
3951.0,12180,980.0,15.0,0.0,0.0
4721.0,14730,980.0,15.0,0.0,0.0
5743.0,17930,980.0,15.0,0.0,0.0
6910.0,21680,980.0,15.0,0.0,0.0
8615.0,26230,980.0,15.0,0.0,0.0
10820.0,31820,980.0,15.0,0.0,0.0
13790.0,38380,980.0,15.0,0.0,0.0
17600.0,46210,980.0,15.0,0.0,0.0
22860.0,54790,980.0,15.0,0.0,0.0
29600.0,64990,980.0,15.0,0.0,0.0
38370.0,76340,980.0,15.0,0.0,0.0
50000.0,87880,980.0,15.0,0.0,0.0
64320.0,100700,980.0,15.0,0.0,0.0
81390.0,114000,980.0,15.0,0.0,0.0
101400.0,126000,980.0,15.0,0.0,0.0
26.81,0.5215,0.0,0.0,60.0,70.0
27.02,0.4657,0.0,0.0,60.0,70.0
26.97,0.4968,0.0,0.0,60.0,70.0
26.9,0.2725,0.0,0.0,60.0,70.0
27.2,0.3239,0.0,0.0,60.0,70.0
27.25,0.5382,0.0,0.0,60.0,70.0
27.05,0.6441,0.0,0.0,60.0,70.0
27.11,0.8266,0.0,0.0,60.0,70.0
26.94,0.8757,0.0,0.0,60.0,70.0
27.13,1.171,0.0,0.0,60.0,70.0
27.17,1.532,0.0,0.0,60.0,70.0
27.15,1.674,0.0,0.0,60.0,70.0
27.26,2.089,0.0,0.0,60.0,70.0
27.31,2.557,0.0,0.0,60.0,70.0
27.35,3.055,0.0,0.0,60.0,70.0
27.55,3.937,0.0,0.0,60.0,70.0
27.62,4.809,0.0,0.0,60.0,70.0
27.91,6,0.0,0.0,60.0,70.0
27.93,7.317,0.0,0.0,60.0,70.0
28.36,8.936,0.0,0.0,60.0,70.0
28.41,11.01,0.0,0.0,60.0,70.0
28.71,13.75,0.0,0.0,60.0,70.0
29.14,17.06,0.0,0.0,60.0,70.0
29.67,20.83,0.0,0.0,60.0,70.0
30.27,25.93,0.0,0.0,60.0,70.0
31.02,32.11,0.0,0.0,60.0,70.0
31.92,39.45,0.0,0.0,60.0,70.0
33.12,49.21,0.0,0.0,60.0,70.0
34.53,60.65,0.0,0.0,60.0,70.0
36.33,75.15,0.0,0.0,60.0,70.0
38.48,92.33,0.0,0.0,60.0,70.0
41.38,115.3,0.0,0.0,60.0,70.0
44.72,141.3,0.0,0.0,60.0,70.0
49.26,176.1,0.0,0.0,60.0,70.0
