I,V,T,t,incl,vel
1.405e-05,-0.4768,0.0,0.0,0.0,0.0
1.292e-05,-0.4769,0.0,0.0,0.0,0.0
1.214e-05,-0.4768,0.0,0.0,0.0,0.0
1.156e-05,-0.4766,0.0,0.0,0.0,0.0
1.109e-05,-0.4765,0.0,0.0,0.0,0.0
1.07e-05,-0.4763,0.0,0.0,0.0,0.0
1.037e-05,-0.4761,0.0,0.0,0.0,0.0
1.009e-05,-0.476,0.0,0.0,0.0,0.0
9.824e-06,-0.4758,0.0,0.0,0.0,0.0
9.602e-06,-0.4756,0.0,0.0,0.0,0.0
9.389e-06,-0.4755,0.0,0.0,0.0,0.0
9.2e-06,-0.4753,0.0,0.0,0.0,0.0
9.028e-06,-0.4751,0.0,0.0,0.0,0.0
8.869e-06,-0.475,0.0,0.0,0.0,0.0
8.715e-06,-0.4748,0.0,0.0,0.0,0.0
8.58e-06,-0.4746,0.0,0.0,0.0,0.0
8.457e-06,-0.4745,0.0,0.0,0.0,0.0
8.321e-06,-0.4743,0.0,0.0,0.0,0.0
8.211e-06,-0.4742,0.0,0.0,0.0,0.0
8.097e-06,-0.474,0.0,0.0,0.0,0.0
7.99e-06,-0.4738,0.0,0.0,0.0,0.0
7.891e-06,-0.4737,0.0,0.0,0.0,0.0
7.798e-06,-0.4735,0.0,0.0,0.0,0.0
7.703e-06,-0.4733,0.0,0.0,0.0,0.0
7.623e-06,-0.4732,0.0,0.0,0.0,0.0
7.537e-06,-0.473,0.0,0.0,0.0,0.0
7.451e-06,-0.4728,0.0,0.0,0.0,0.0
7.377e-06,-0.4727,0.0,0.0,0.0,0.0
7.303e-06,-0.4725,0.0,0.0,0.0,0.0
7.232e-06,-0.4723,0.0,0.0,0.0,0.0
7.163e-06,-0.4722,0.0,0.0,0.0,0.0
7.099e-06,-0.472,0.0,0.0,0.0,0.0
7.031e-06,-0.4718,0.0,0.0,0.0,0.0
6.971e-06,-0.4717,0.0,0.0,0.0,0.0
6.911e-06,-0.4715,0.0,0.0,0.0,0.0
6.846e-06,-0.4713,0.0,0.0,0.0,0.0
6.794e-06,-0.4712,0.0,0.0,0.0,0.0
